timepoint,genotype,embryo,total_cells,cell_type,cells
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_B7,51,cranial ganglion progenitor,16
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_B7,51,epibranchial ganglion,10
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_B7,51,lateral line ganglion,6
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_B7,51,statoacoustic ganglion,8
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_B7,51,trigeminal ganglion,9
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_B7,51,rohon-beard neuron,1
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_B7,51,unknown sensory ganglion,1
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_C7,43,cranial ganglion progenitor,13
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_C7,43,epibranchial ganglion,6
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_C7,43,lateral line ganglion,10
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_C7,43,statoacoustic ganglion,7
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_C7,43,trigeminal ganglion,6
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_C7,43,rohon-beard neuron,1
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_C7,43,unknown sensory ganglion,0
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_D7,42,cranial ganglion progenitor,15
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_D7,42,epibranchial ganglion,9
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_D7,42,lateral line ganglion,5
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_D7,42,statoacoustic ganglion,5
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_D7,42,trigeminal ganglion,7
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_D7,42,rohon-beard neuron,1
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_D7,42,unknown sensory ganglion,0
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_E7,35,cranial ganglion progenitor,14
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_E7,35,epibranchial ganglion,5
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_E7,35,lateral line ganglion,5
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_E7,35,statoacoustic ganglion,5
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_E7,35,trigeminal ganglion,2
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_E7,35,rohon-beard neuron,3
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_E7,35,unknown sensory ganglion,1
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_F7,45,cranial ganglion progenitor,18
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_F7,45,epibranchial ganglion,8
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_F7,45,lateral line ganglion,5
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_F7,45,statoacoustic ganglion,8
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_F7,45,trigeminal ganglion,4
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_F7,45,rohon-beard neuron,2
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_F7,45,unknown sensory ganglion,0
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_G7,29,cranial ganglion progenitor,17
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_G7,29,epibranchial ganglion,5
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_G7,29,lateral line ganglion,3
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_G7,29,statoacoustic ganglion,3
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_G7,29,trigeminal ganglion,1
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_G7,29,rohon-beard neuron,0
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_G7,29,unknown sensory ganglion,0
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_H7,39,cranial ganglion progenitor,8
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_H7,39,epibranchial ganglion,7
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_H7,39,lateral line ganglion,8
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_H7,39,statoacoustic ganglion,7
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_H7,39,trigeminal ganglion,8
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_H7,39,rohon-beard neuron,1
36,cdx4-cdx1a,GAP16.36.36h_cdx4-cdx1a_P2_H7,39,unknown sensory ganglion,0
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_A11,35,cranial ganglion progenitor,12
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_A11,35,epibranchial ganglion,4
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_A11,35,lateral line ganglion,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_A11,35,statoacoustic ganglion,5
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_A11,35,trigeminal ganglion,8
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_A11,35,rohon-beard neuron,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_A11,35,unknown sensory ganglion,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_B11,31,cranial ganglion progenitor,10
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_B11,31,epibranchial ganglion,6
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_B11,31,lateral line ganglion,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_B11,31,statoacoustic ganglion,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_B11,31,trigeminal ganglion,8
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_B11,31,rohon-beard neuron,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_B11,31,unknown sensory ganglion,1
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_C11,25,cranial ganglion progenitor,7
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_C11,25,epibranchial ganglion,3
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_C11,25,lateral line ganglion,4
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_C11,25,statoacoustic ganglion,5
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_C11,25,trigeminal ganglion,4
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_C11,25,rohon-beard neuron,0
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_C11,25,unknown sensory ganglion,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_D11,38,cranial ganglion progenitor,13
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_D11,38,epibranchial ganglion,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_D11,38,lateral line ganglion,5
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_D11,38,statoacoustic ganglion,0
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_D11,38,trigeminal ganglion,8
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_D11,38,rohon-beard neuron,5
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_D11,38,unknown sensory ganglion,5
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_E11,36,cranial ganglion progenitor,10
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_E11,36,epibranchial ganglion,3
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_E11,36,lateral line ganglion,3
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_E11,36,statoacoustic ganglion,7
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_E11,36,trigeminal ganglion,7
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_E11,36,rohon-beard neuron,3
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_E11,36,unknown sensory ganglion,3
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_F11,29,cranial ganglion progenitor,7
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_F11,29,epibranchial ganglion,8
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_F11,29,lateral line ganglion,3
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_F11,29,statoacoustic ganglion,7
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_F11,29,trigeminal ganglion,0
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_F11,29,rohon-beard neuron,1
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_F11,29,unknown sensory ganglion,3
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_G11,28,cranial ganglion progenitor,14
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_G11,28,epibranchial ganglion,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_G11,28,lateral line ganglion,5
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_G11,28,statoacoustic ganglion,3
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_G11,28,trigeminal ganglion,3
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_G11,28,rohon-beard neuron,0
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_G11,28,unknown sensory ganglion,1
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_H11,15,cranial ganglion progenitor,7
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_H11,15,epibranchial ganglion,0
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_H11,15,lateral line ganglion,1
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_H11,15,statoacoustic ganglion,3
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_H11,15,trigeminal ganglion,3
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_H11,15,rohon-beard neuron,0
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P10_H11,15,unknown sensory ganglion,1
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_A5,34,cranial ganglion progenitor,14
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_A5,34,epibranchial ganglion,1
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_A5,34,lateral line ganglion,4
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_A5,34,statoacoustic ganglion,5
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_A5,34,trigeminal ganglion,5
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_A5,34,rohon-beard neuron,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_A5,34,unknown sensory ganglion,3
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_B5,35,cranial ganglion progenitor,14
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_B5,35,epibranchial ganglion,6
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_B5,35,lateral line ganglion,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_B5,35,statoacoustic ganglion,5
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_B5,35,trigeminal ganglion,3
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_B5,35,rohon-beard neuron,3
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_B5,35,unknown sensory ganglion,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_C5,30,cranial ganglion progenitor,15
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_C5,30,epibranchial ganglion,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_C5,30,lateral line ganglion,1
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_C5,30,statoacoustic ganglion,3
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_C5,30,trigeminal ganglion,8
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_C5,30,rohon-beard neuron,1
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_C5,30,unknown sensory ganglion,0
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_D5,27,cranial ganglion progenitor,10
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_D5,27,epibranchial ganglion,3
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_D5,27,lateral line ganglion,1
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_D5,27,statoacoustic ganglion,4
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_D5,27,trigeminal ganglion,4
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_D5,27,rohon-beard neuron,0
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P16_D5,27,unknown sensory ganglion,5
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_A1,41,cranial ganglion progenitor,13
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_A1,41,epibranchial ganglion,4
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_A1,41,lateral line ganglion,6
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_A1,41,statoacoustic ganglion,8
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_A1,41,trigeminal ganglion,6
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_A1,41,rohon-beard neuron,2
