"geno.v.wt","cell_group","estimate","std.error","statistic","p.value","qval","emb_mean","abund_log2fc","timepoint"
"tfap2a","statoacoustic ganglion",0.398812220641447,0.364633576160625,1.09373422173762,0.274071560618085,0.54814312123617,6,0.362570079384708,"72"
"tfap2a","unknown sensory ganglion",0.126698080586614,1.18619219389216,0.106810752287022,0.914939117185596,0.948825751155433,1,0,"72"
"tfap2a","cranial ganglion progenitor",0.0375192505083131,0.270299440061941,0.138806245768453,0.889603258358679,0.948825751155433,5,-0.222392421336448,"72"
"tfap2a","trigeminal ganglion",0.0355547339059794,0.711921452877082,0.0499419335690649,0.96016866082244,0.96016866082244,2,0.584962500721156,"72"
"tfap2a","epibranchial ganglion",-0.214460501191464,0.314707522438902,-0.681459723394757,0.495580643659152,0.693812901122813,14,-0.3536369546147,"72"
"tfap2a","lateral line ganglion",-0.371842608589803,0.252096581900901,-1.47500059614444,0.140212383149434,0.434769525593458,6,-0.652076696579693,"72"
"tfap2a","rohon-beard neuron",-0.489069863625799,0.944097344379066,-0.518029063991765,0.604437991278458,0.735837554599862,1,0,"72"
"tfap2a-foxd3","unknown sensory ganglion",1.61759904681545,1.1382370624749,1.42114424151527,0.155274830569092,0.434769525593458,1,1,"72"
"tfap2a-foxd3","rohon-beard neuron",0.764324417177649,0.908714845436551,0.841104798734155,0.400289227016222,0.664354242284305,1,1.58496250072116,"72"
"tfap2a-foxd3","trigeminal ganglion",0.758773951553139,0.730368375076969,1.03889212272256,0.298854910341121,0.557862499303426,2,1,"72"
"tfap2a-foxd3","cranial ganglion progenitor",0.439668896825534,0.293085286575453,1.50013977829741,0.133578198835321,0.434769525593458,5,0,"72"
"tfap2a-foxd3","statoacoustic ganglion",0.241277772629429,0.404498296160316,0.596486499250427,0.550850270326377,0.734467027101836,6,0,"72"
"tfap2a-foxd3","epibranchial ganglion",-0.476475779328976,0.351394337056502,-1.35595747876939,0.175112697557632,0.445465446467086,14,-0.823122237915921,"72"
"tfap2a-foxd3","lateral line ganglion",-0.835999314550399,0.315955639987432,-2.64593888744526,0.00814645324461155,0.114050345424562,6,-1.4594316186373,"72"
