timepoint,cell_group,cells_per_embryo,cells_per_embryo.stddev,cells_per_embryo.stderr,cells_per_embryo_cv,cells_per_embryo_cv.stddev,cells_per_embryo_cv.stderr,num_embryos,model_fit,model_sd,model_fit_lower,model_fit_upper,cv_test_stat,cv_z_stat_p_val,mean_prolif
18,basal cell,0.154583333333333,0.790206649869765,0.114056505504435,,,,48,4.53594557555041,0.198623065241121,4.13869944506817,4.93319170603265,,,0.438280129142396
18,connective tissue-meninges-dermal FB,47.19125,16.9719282176569,2.44968683128281,0.359918156829617,0.0383584220204297,0.00553656131979609,48,0.500953865310299,0.128280271927134,0.24439332145603,0.757514409164567,-1.09943412468593,0.86421062351541,0.557714299290414
18,cranial muscle (progenitor),2.81458333333333,3.36138853735464,0.485174644223156,1.20118716281343,0.165073358763387,0.0238262870295193,48,1.19128408393469,0.184959738521597,0.821364606891494,1.56120356097788,0.0535418083843683,0.478650110064744,1.20311707145172
18,differentiating neuron (hindbrain),1.32416666666667,3.43085696027423,0.495201547391357,2.66100516638191,0.56677649522796,0.0818071405225539,48,1.8191061738933,0.213080623101616,1.39294492769007,2.24526742009654,3.95108189676691,3.88993469204735e-05,0.880421084678754
18,enveloping layer (EVL),174.397291666667,76.0817147549424,10.9814496235436,0.436727201533802,0.0448360225607651,0.00647152242371246,48,0.464177583056248,0.123894881797718,0.216387819460811,0.711967346651684,-0.221561868611037,0.587672515429206,0.747734976689675
18,"eye, optic cup",9.82729166666667,5.96316047601717,0.860708076512362,0.607544083337268,0.0672286854214927,0.00970362490634087,48,0.684990754719721,0.147467614140909,0.390055526437903,0.979925983001539,-0.525177489536459,0.700270094049219,1.40339771264259
18,fast-committed myocyte,15.0297916666667,9.10603550561009,1.31434301260357,0.606007294734758,0.0661111731287986,0.00954232590058846,48,0.606073245612344,0.139741029919375,0.326591185773594,0.885555305451094,-0.000471950704991242,0.500188281083497,0.229353764725511
18,fin mesenchyme,23.113125,11.258687535976,1.6250515699044,0.487201871026683,0.0548664689534553,0.00791929265494042,48,0.55263760447358,0.134099313596338,0.284438977280903,0.820836231666256,-0.487964715791677,0.687212583152008,0.329327187451829
18,head mesenchyme,2,2.56842541970519,0.370720276865067,1.28657354178135,0.172284668352588,0.0248671499126531,48,1.43916738917159,0.197972876550118,1.04322163607135,1.83511314227182,-0.77078158407023,0.779581797628527,0.963623434510374
18,"head mesenchyme (maybe ventral, hand2+)",4.30333333333333,3.56845539408602,0.515062170591684,0.831263260609506,0.100031846122694,0.0144383533216182,48,0.958488327584768,0.169883700339353,0.618720926906062,1.29825572826347,-0.748895077756857,0.773039776339035,0.760582505213023
18,head mesenchyme/PA cartilage,2.80979166666667,3.31061337228233,0.477845880417495,1.18240677146851,0.152410211527364,0.0219985191631428,48,1.19237827751612,0.185023559470482,0.822331158575161,1.56242539645709,-0.0538931694760822,0.521489860636425,0.886805405858788
18,ionocyte/goblet cell,11.6535416666667,7.81319550362935,1.12773763181289,0.672899258081803,0.07794633496784,0.0112505843690068,48,0.649550686401271,0.144081066074411,0.361388554252449,0.937712818550093,0.162051630493026,0.43563259794924,0.593240694830085
18,lens,4.39291666666667,6.12578118075316,0.884180353426145,1.39528017665189,0.166905038094348,0.0240906671682192,48,0.949060049653896,0.16920443514502,0.610651179363857,1.28746891994394,2.63716566658286,0.00418009956727838,0.588782897115782
18,mature slow muscle,25.1491666666667,10.2522026789718,1.47977799412275,0.408511222973314,0.0521033916919004,0.00752047680475281,48,0.544501885879231,0.133208137738992,0.278085610401247,0.810918161357215,-1.02088855241245,0.846346378313367,0.149240924744464
18,mesodermal progenitor cells (contains PSM),17.5570833333333,9.30488116724842,1.34304391167209,0.530093137695016,0.0532703086522908,0.00768890676005364,48,0.584207068024231,0.137475427077404,0.309256213869424,0.859157922179039,-0.393626202730376,0.653071483558153,0.802158085091936
18,myeloid cell,3.08958333333333,3.31110991564824,0.477917550278988,1.07613609347245,0.149735925905733,0.0216125192822581,48,1.13347243029254,0.181499715328032,0.770472999636479,1.49647186094861,-0.315903177679743,0.623962000045888,0.624974482697829
18,myoblast,4.918125,5.48911171220902,0.792285031163951,1.11915394905843,0.144795677138762,0.0208994557933897,48,0.900132763578497,0.165583115752133,0.568966532074231,1.23129899508276,1.32272656233737,0.0929631634056711,0.933207312796011
18,neural progenitor (hindbrain R7/8),8.93,5.91454848683259,0.853691540251972,0.662943100921311,0.0768227539566643,0.0110884094191921,48,0.707467732764871,0.149549668299586,0.408368396165698,1.00656706936404,-0.297724711460849,0.617043359382021,1.23924159530566
18,neural progenitor (hindbrain),17.4275,9.69516735569636,1.39937687066244,0.556568326464196,0.0590977035293909,0.00853001876029564,48,0.585177727952693,0.137577231851941,0.310023264248811,0.860332191656575,-0.207951570934977,0.582366609277313,1.38177332262771
18,neural progenitor (MHB),9.60354166666667,5.34401952501566,0.771342777830602,0.557442894997261,0.066316040528272,0.009571895962647,48,0.690219570539918,0.147956401500159,0.394306767539601,0.986132373540235,-0.897404060901785,0.815248326793139,1.26469704626219
18,neural progenitor (telencephalon/diencephalon),8.316875,5.53646269381394,0.79911955665795,0.667802800092629,0.0837984957354112,0.0120952710176313,48,0.7254771326086,0.151182767605681,0.423111597397238,1.02784266781996,-0.381487476578006,0.648579218922521,0.878215720424694
18,notochord,13.2125,7.56394148794176,1.09176091354944,0.572937855437682,0.0635188668112603,0.00916815871302527,48,0.626802005097701,0.141836747371761,0.343128510354179,0.910475499841224,-0.379761596752065,0.647938804126518,0.515383610202754
